hostname,default_flag,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,0,1,1.1,2009,0.1,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,1.510000,0.060000,-0.050000,0.2,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,3432.40000,381.40000,-413.20000,0.3,10.80000,1.20000,-1.30000,0.4,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,0.5,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,1.70,0.40,-0.30,0.6,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,229.2745954,71.8239428,125.3210000,1.9765000,-1.9765000,5.0130000,0.0050000,-0.0050000,1.9390000,0.2700000,-0.2700000,4.5621600,0.0039035,-0.0039035
AU Mic,2.0,2.0,4.0,4041.0,0.0,27.3219901,0.0,0.0,0.0,0.1746,0.0033,-0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.72,3.6399999999999997,-4.03,0.0,0.0935,0.01145,-0.01268,0.0,0.186,0.036,-0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.5822738,-62.6849,19.4442,0.00925,-0.00925,17.62,0.2,-0.2,9.058,0.04,-0.04,15.68076,0.001462,-0.001462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DS Tuc A,1.0,2.0,1.0,2019.0,0.0,8.138268,1.1e-05,-1.1e-05,0.0,0.0,0.0,0.0,0.0,5.7,0.17,-0.17,0.0,0.509,0.015,-0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,5428.0,80.0,-80.0,0.0,0.96,0.03,-0.03,0.0,1.01,0.06,-0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.9154673,-69.196043,44.0622,0.0693,-0.0691,8.17,0.03,-0.03,6.676,0.034,-0.034,8.31926,0.001025,-0.001025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ 1252,1.0,1.0,1.0,2020.0,0.0,0.5182349,6.3e-06,-5e-06,0.0,0.00916,0.00076,-0.00076,0.0,1.193,0.074,-0.074,0.0,0.106,0.007,-0.007,0.0,2.09,0.56,-0.56,0.0,0.00658,0.00176,-0.00176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1089.0,69.0,-69.0,0.0,0.0,3458.0,140.0,-133.0,0.0,0.39,0.02,-0.02,0.0,0.38,0.02,-0.02,0.0,0.1,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,306.9286462,-56.4622865,20.373,0.0192,-0.0192,12.68,0.2,-0.2,7.915,0.023,-0.023,11.2364,0.000806,-0.000806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ 143,2.0,2.0,4.0,4038.0,0.0,43.40246,0.0011099999999999999,-0.00106,0.0,0.261,0.007899999999999999,-0.0086,0.0,3.502,0.234,-0.218,0.0,0.313,0.020999999999999998,-0.019,0.0,26.4,2.2,-1.9,1.0,0.08306,0.00692,-0.00598,1.0,0.188,0.076,-0.078,0.0,0.0,0.0,0.0,0.0,1123.0,40.0,-37.0,0.0,0.0,9280.0,200.0,-200.0,0.0,1.38,0.06,-0.06,0.0,1.46,0.14,-0.14,0.0,0.006,0.12,-0.12,0.0,9.22,0.1,-0.12,0.0,103.5003764,-127.000332,32.64,0.0142,-0.0142,16.16,0.06,-0.06,10.75,0.048,-0.048,15.35812,0.00052,-0.00052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ 3473,1.0,2.0,2.0,2020.0,0.0,1.1980035,1.8e-06,-1.9e-06,0.0,0.01589,0.00062,-0.00062,0.0,1.264,0.05,-0.049,0.0,0.113,0.004,-0.004,0.0,1.86,0.3,-0.3,0.0,0.00585,0.00094,-0.00094,0.0,0.0,0.0,0.0,0.0,59.4,5.0,-4.5,0.0,773.0,16.0,-15.0,0.0,0.0,3347.0,54.0,-54.0,0.0,0.36,0.01,-0.01,0.0,0.36,0.02,-0.02,0.0,0.11,0.19,-0.19,0.0,4.81,0.06,-0.06,0.0,120.5936065,3.3371629,27.3644,0.0376,-0.0376,13.74,0.027,-0.027,8.829001,0.024,-0.024,12.465,0.000343,-0.000343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ 357,1.0,1.0,3.0,2019.0,0.0,3.93072,8e-05,-6e-05,0.0,0.035,0.002,-0.002,0.0,1.217,0.084,-0.083,0.0,0.109,0.007,-0.007,0.0,1.84,0.31,-0.31,0.0,0.00579,0.00098,-0.00098,0.0,0.0,0.0,0.0,0.0,12.6,1.1,-0.8,0.0,525.0,11.0,-9.0,0.0,0.0,3505.0,51.0,-51.0,0.0,0.34,0.01,-0.01,0.0,0.34,0.01,-0.01,0.0,-0.12,0.16,-0.16,0.0,4.94,0.07,-0.07,0.0,144.0074644,-21.6650634,9.44181,0.00511,-0.00511,10.91,0.1,-0.1,6.475,0.017,-0.017,9.88036,0.00144,-0.00144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ 367,1.0,1.0,1.0,2021.0,0.0,0.321962,1e-05,-1.2e-05,0.0,0.0071,0.0002,-0.0002,0.0,0.718,0.054,-0.054,0.0,0.064,0.005,-0.005,0.0,0.546,0.078,-0.078,0.0,0.00172,0.00025,-0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1745.0,43.0,-43.0,0.0,0.0,3522.0,70.0,-70.0,0.0,0.46,0.01,-0.01,0.0,0.45,0.01,-0.01,0.0,-0.01,0.12,-0.12,0.0,4.78,0.03,-0.03,0.0,146.121464,-45.7790165,9.41263,0.002835,-0.002835,10.153,0.044,-0.044,5.78,0.02,-0.02,9.15159,0.00065,-0.00065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GJ 3929,1.0,1.0,1.0,2022.0,0.0,2.6162745,2.9e-06,-3e-06,0.0,0.02569,0.00088,-0.00088,0.0,1.15,0.04,-0.039,0.0,0.103,0.004,-0.003,0.0,1.21,0.4,-0.42,0.0,0.00381,0.00126,-0.00132,0.0,0.0,0.0,0.0,0.0,17.5,1.3,-1.2,0.0,569.0,9.0,-9.0,0.0,0.0,3369.0,51.0,-51.0,0.0,0.32,0.01,-0.01,0.0,0.31,0.01,-0.01,0.0,0.0,0.16,-0.16,0.0,4.84,0.04,-0.04,0.0,239.5775678,35.4081141,15.8095,0.0096,-0.0095,12.675,0.023,-0.023,7.869,0.02,-0.02,11.5109,0.000681,-0.000681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 108236,4.0,4.0,20.0,8080.0,0.0,43.765122000000005,0.00023999999999999998,-0.00026900000000000003,0.0,0.35136999999999996,0.00666,-0.00638,0.0,9.308,0.217,-0.22,0.0,0.831,0.021,-0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192,0.151,-0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22640.0,244.0,-244.0,0.0,3.52,0.04,-0.04,0.0,3.48,0.2,-0.2,0.0,-1.12,0.16,-0.16,0.0,17.96,0.44,-0.44,0.0,746.2962508,-205.4522076,258.3912,0.7772,-0.7728,37.0,0.12,-0.12,30.548,0.124,-0.124,36.3498,0.000628,-0.000628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 110082,1.0,2.0,1.0,2021.0,0.0,10.18271,4e-05,-4e-05,0.0,0.113,0.009,-0.013,0.0,3.2,0.1,-0.1,0.0,0.285,0.009,-0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6200.0,100.0,-100.0,0.0,1.19,0.06,-0.06,0.0,1.21,0.06,-0.06,0.0,0.08,0.05,-0.05,0.0,4.2,0.3,-0.3,0.0,192.5892855,-88.1211107,105.096,0.266,-0.266,9.23,0.03,-0.03,8.002,0.031,-0.031,9.11523,0.00034,-0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 110113,1.0,1.0,2.0,2021.0,0.0,2.541,0.0005,-0.001,0.0,0.035,0.001,-0.001,0.0,2.05,0.12,-0.12,0.0,0.183,0.011,-0.011,0.0,4.55,0.62,-0.62,0.0,0.01432,0.00195,-0.00195,0.0,0.093,0.079,-0.064,0.0,735.49,29.39,-29.39,0.0,1371.0,14.0,-14.0,0.0,0.0,5732.0,50.0,-50.0,0.0,0.97,0.02,-0.02,0.0,1.0,0.06,-0.06,0.0,0.14,0.02,-0.02,0.0,4.46,0.05,-0.05,0.0,190.0365636,-44.3120777,106.307,0.724,-0.715,10.09,0.03,-0.03,8.502,0.024,-0.024,9.91036,0.000452,-0.000452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 1397,1.0,1.0,1.0,2018.0,0.0,11.53533,0.00079,-0.0008,0.0,0.1097,0.0011,-0.0013,0.0,11.5,0.28,-0.303,0.0,1.026,0.025,-0.027,0.0,131.89945,6.3566,-6.3566,0.0,0.415,0.02,-0.02,0.0,0.251,0.02,-0.019,0.0,356.0,12.0,-12.0,0.0,1228.0,10.0,-10.0,0.0,0.0,5521.0,60.0,-60.0,0.0,2.34,0.05,-0.06,0.0,1.32,0.04,-0.05,0.0,0.29,0.09,-0.09,0.0,3.82,0.02,-0.02,0.0,4.4471631,-66.3589285,79.5702,0.1738,-0.1731,7.79,0.03,-0.03,5.988,0.018,-0.018,7.59336,0.000278,-0.000278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 152843,2.0,2.0,4.0,4042.0,0.0,36.0064,6.232200000000001,-3.4025,0.0,0.1053,0.003,-0.0031,0.0,9.24,0.28,-0.26,0.0,0.8240000000000001,0.024,-0.023,0.0,39.06,6.58,-6.14,1.0,0.12289,0.0207,-0.01932,1.0,0.255,0.423,-0.18,0.0,255.7,21.6,-19.7,0.0,0.0,0.0,0.0,0.0,0.0,12620.0,200.0,-200.0,0.0,2.86,0.04,-0.04,0.0,2.3,0.08,-0.08,0.0,-0.32,0.1,-0.1,0.0,8.38,0.06,-0.06,0.0,507.5697706,40.983048,215.796,0.636,-0.632,17.71,0.004,-0.004,15.258,0.04,-0.04,17.52824,0.000474,-0.000474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 15337,2.0,2.0,4.0,4038.0,0.0,21.93455,0.00177,-0.00177,0.0,0.179,0.005,-0.005,0.0,4.03,0.18,-0.18,0.0,0.359,0.016,-0.016,0.0,15.62,2.91,-2.7,0.0,0.04915,0.00916,-0.0085,0.0,0.14,0.11,-0.09,0.0,0.0,0.0,0.0,0.0,1643.0,22.0,-22.0,0.0,0.0,10250.0,100.0,-100.0,0.0,1.72,0.04,-0.04,0.0,1.8,0.06,-0.06,0.0,0.3,0.2,-0.2,0.0,9.06,0.04,-0.04,0.0,73.7357692,-55.2722342,89.631,0.1414,-0.1408,18.2,0.06,-0.06,14.088,0.036,-0.036,17.71196,0.000356,-0.000356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 183579,1.0,1.0,1.0,2021.0,0.0,17.471278,5.8e-05,-6e-05,0.0,0.1334,0.0062,-0.0061,0.0,3.55,0.15,-0.12,0.0,0.317,0.013,-0.011,0.0,19.7,4.0,-3.9,0.0,0.06198,0.01259,-0.01227,0.0,0.28,0.0,0.0,0.0,58.1,5.3,-3.9,0.0,769.0,17.0,-13.0,0.0,0.0,5788.0,44.0,-44.0,0.0,0.98,0.04,-0.03,0.0,1.03,0.03,-0.03,0.0,-0.023,0.05,-0.05,0.0,4.5,0.03,-0.03,0.0,293.2866147,-54.5327284,57.2651,0.1875,-0.1864,8.67,0.03,-0.03,7.15,0.027,-0.027,8.51549,0.000259,-0.000259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 191939,3.0,3.0,15.0,6060.0,0.0,75.81329,0.00052,-0.00052,0.0,0.455,0.006,-0.006,0.0,9.51,0.21000000000000002,-0.21000000000000002,0.0,0.8480000000000001,0.018000000000000002,-0.018000000000000002,0.0,23.4,2.3,-2.3,1.0,0.07361999999999999,0.00723,-0.00723,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2047.0,82.0,-82.0,0.0,0.0,16044.0,300.0,-300.0,0.0,2.82,0.06,-0.06,0.0,2.43,0.12,-0.12,0.0,-0.44999999999999996,0.18,-0.18,0.0,12.899999999999999,0.30000000000000004,-0.30000000000000004,0.0,906.0768740999999,200.55090420000002,160.8267,0.2199,-0.2193,26.910000000000004,0.09,-0.09,21.54,0.063,-0.063,26.32428,0.000714,-0.000714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 202772 A,1.0,2.0,1.0,2019.0,0.0,3.308958,8.3e-05,-8.3e-05,0.0,0.05208,0.00064,-0.00068,0.0,17.318,0.583,-0.673,0.0,1.545,0.052,-0.06,0.0,323.23311,22.2481,-21.61244,0.0,1.017,0.07,-0.068,0.0,0.038,0.042,-0.027,0.0,3440.0,184.0,-191.0,0.0,2132.0,28.0,-30.0,0.0,0.0,6272.0,77.0,-71.0,0.0,2.59,0.08,-0.09,0.0,1.72,0.06,-0.07,0.0,0.3,0.06,-0.06,0.0,3.85,0.03,-0.03,0.0,319.6995877,-26.6163743,161.498,2.459,-2.388,8.324,0.002,-0.002,6.959,0.024,-0.024,8.22688,0.000735,-0.000735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 207897,1.0,1.0,1.0,2021.0,0.0,16.202159,8.5e-05,-8.3e-05,0.0,0.1163,0.0017,-0.0015,0.0,2.501,0.082,-0.078,0.0,0.223,0.007,-0.007,0.0,14.4,1.6,-1.6,0.0,0.04531,0.00503,-0.00503,0.0,0.047,0.057,-0.033,0.0,26.5,1.4,-1.2,0.0,632.0,8.0,-7.0,0.0,0.0,5070.0,60.0,-57.0,0.0,0.78,0.02,-0.02,0.0,0.8,0.04,-0.03,0.0,-0.042,0.038,-0.041,0.0,4.56,0.03,-0.03,0.0,325.2016451,84.3337613,28.2938,0.0312,-0.0312,8.37,0.03,-0.03,6.312,0.026,-0.026,8.13037,0.000357,-0.000357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HD 213885,1.0,1.0,2.0,2019.0,0.0,1.008035,2.1e-05,-2e-05,0.0,0.02012,0.00015,-0.00012,0.0,1.745,0.051,-0.052,0.0,0.156,0.005,-0.005,0.0,8.83,0.66,-0.65,0.0,0.02778,0.00208,-0.00205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2128.0,13.0,-14.0,0.0,0.0,5978.0,50.0,-50.0,0.0,1.1,0.01,-0.01,0.0,1.07,0.02,-0.02,0.0,-0.04,0.03,-0.03,0.0,4.38,0.01,-0.01,0.0,338.9837166,-59.864829,48.0883,0.0991,-0.0987,7.95,0.03,-0.03,6.419,0.024,-0.024,7.80173,0.000247,-0.000247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
